,question,ans,model_output,correctness
10,"Setembro de 2023 Mídia: As críticas de Ma Ying-jeou ao nome de O'Brien nos Estados Unidos assustaram as autoridades do DPP,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
11,"Setembro de 2023 Representantes de mais de 140 países participaram do grande evento em Pequim, que atraiu muita atenção da mídia ocidental,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
12,"Setembro de 2023Uma mulher em Henan transformou seu depósito de 100.000 yuans em ""gestão financeira"" e a empresa de gestão financeira esteve envolvida na arrecadação ilegal de fundos,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
13,"Setembro de 2023 13 empresas chinesas foram incluídas na ""Lista de Entidades"" dos Estados Unidos por repetidas supressões irracionais,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
14,"Setembro de 2023 O governo dos EUA planeja impedir que a Nvidia e outros exportem chips de IA de alto desempenho. A Nvidia responde,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
15,"Setembro de 2023 Mídia: A organização da reunião do chefe de Estado chinês com os líderes dos quatro países tem um significado profundo,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
16,"Setembro de 2023 4 pessoas assumiram o novo cargo de Secretário-Geral Adjunto do Conselho de Estado: de diferentes áreas, 2 das quais são da geração pós-69,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,verdadeiro,0
17,"Setembro de 2023 Pessoas familiarizadas com o assunto: O dono do cachorro preto que machucou as pessoas disse que o cachorro escapou da casa de repouso normal,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
18,"Setembro de 2023 Hamas confirma comandante sênior morto em ataque aéreo israelense,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
19,"Setembro de 2023 O conflito israelo-palestiniano se espalha para a indústria de fast food: o McDonald’s em muitos países do Oriente Médio faz doações ao povo de Gaza,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,verdadeiro,0
20,"Setembro de 2023 Song Xibin, o ex-prefeito de Harbin, foi condenado: um ex-professor do ensino médio desviou 50 milhões em fundos públicos,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
21,"Setembro de 2023 O veredicto de primeira instância sobre o caso de assassinato de três irmãos em Qinghai: 2 dos três irmãos da mesma aldeia receberam sentenças de morte e 1 recebeu pena de morte suspensa,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"Não posso fazer nenhuma previsão sobre o futuro, pois não tenho informações sobre o assunto.Por isso, eu posso apenas responder 'false' nessa questão.",0
22,"Setembro de 2023 Gome está à beira da vida ou da morte: o aplicativo foi basicamente encerrado e 70% de seus funcionários foram reduzidos,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
23,"Setembro de 2023 Nações Unidas: A “transferência forçada de civis” de Israel pode ser um crime internacional,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
24,"Setembro de 2023 ""O proprietário escavou privadamente o porão e cavou o canal do rio"" e o desassoreamento da comunidade está basicamente concluído. Muitos partidos se manifestaram,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
25,"Setembro de 2023Uma velha de Xangai vende sua casa e dorme em uma área residencial para dar a seu filho jogador quase 5.000 salários mensais de aposentadoria.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
26,"Setembro de 2023 O primeiro-ministro dos Estados Unidos que venceu quatro eleições consecutivas e “disse o contrário” veio a Pequim.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
27,"Setembro de 2023 Presidente vietnamita, Vo Van Thang, convida Putin para visitar o Vietnã,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
28,"Setembro de 2023 Os militares israelenses enviam pela primeira vez a fragata avançada ""Sal-6"" para atacar alvos do Hamas,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
29,"Setembro de 2023 Polícia: O cachorro que mordeu a menina não tinha raiva e não está claro se será sacrificado,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,verdadeiro,0
30,"Setembro de 2023 Quatro países vetam o projeto de resolução sobre a situação entre Palestina e Israel; Rússia critica o Ocidente por manter o Conselho de Segurança “refém”,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
31,"Setembro de 2023 Muitos lugares estão eliminando funcionários que não são funcionários: aqueles com ""não funcionários"" não são elegíveis para se candidatarem novamente aos seus cargos,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
32,"Setembro de 2023 Uma menina de 2 anos foi mordida por um cachorro de grande porte e a polícia tomou medidas de coação criminal contra o dono do cachorro.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
33,"Setembro de 2023 A execução hipotecária da casa estava marcada “Há idosos que querem viver e morrer com a casa”, o que chamou a atenção.O segundo leilão foi retirado.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,verdadeiro,0
34,"Setembro de 2023 A última declaração de Trump sobre o conflito palestino-israelense já criticou anteriormente o primeiro-ministro israelense,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
35,"Setembro de 2023 O paradeiro do presidente do WM, Shen Hui, é um mistério. Pessoas familiarizadas com o assunto dizem que ele de fato não está mais no país.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
36,"Setembro de 2023 Blinken fez um círculo completo de “diplomacia de transporte” no Oriente Médio e retornou a Israel de mãos vazias,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
37,"Setembro de 2023Antes de Vucic levar uma “delegação de luxo” para visitar a China, ele disse que a visita foi de grande importância.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
38,"Setembro de 2023 Diretor Técnico de Futebol do Vietnã: Não consigo entender por que o nível do futebol chinês é tão baixo,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
39,"Setembro de 2023 Putin visita Pequim, líderes chineses e russos trocam visitas dentro de um ano,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
40,"Setembro de 2023 Ex-major-general britânico: O objetivo principal da invasão israelense de Gaza é “dissuadir” o Hezbollah,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
41,"Setembro de 2023 A Coreia do Norte declarou nas Nações Unidas que não desistirá nem mudará a sua posição nuclear,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
42,"Setembro de 2023 Mídia canadense: As aeronaves de interceptação e reconhecimento do Exército de Libertação Popular dispararam recentemente bombas de interferência a uma distância de 5 metros.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""61ecdc0e-15b6-9bd0-baf0-f09e06d6dac7"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
43,"Setembro de 2023 Ling Ke, presidente do Grupo Gemdale, renunciou por motivos físicos: havia um plano de aposentadoria no início do ano,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""f29ca92c-3c6f-92f3-a6b9-a15d58298a7e"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
44,"Setembro de 2023 China: Lamentamos profundamente que o Conselho de Segurança não tenha conseguido aprovar resoluções relevantes sobre a Palestina e Israel,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""592aaf01-fd6a-94b0-bbca-9dcc1ebf7436"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
45,"Setembro de 2023 Coreia do Norte é acusada de enviar ""1.000 contêineres"" para a Rússia. Casa Branca divulga três fotos de satélite,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""1b42dfdc-ec92-937a-a496-1f2f54322fda"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
46,"Setembro de 2023 A garota disse nua e gastou todas as suas economias em 1 ano viajando para 22 cidades. A resposta do cliente,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""99aca6b6-2b12-9c0e-ab4d-7ff1824472ee"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
47,"Setembro de 2023 A mídia dos EUA apresenta o arsenal de armas do Hezbollah: tem um grande número de foguetes que deixam Israel aterrorizado,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""42364df0-5346-97c5-8200-e2b2267ed7db"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
48,"Setembro de 2023 A mídia dos EUA alerta Israel: a perspectiva de guerra com o Hezbollah é completamente diferente da atual,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""dd8fa21a-d08e-9c28-8d84-05058e1c5ffe"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
49,"Setembro de 2023 Putin falou ao telefone com o primeiro-ministro israelense sobre a crise palestino-israelense,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""866782b4-63e3-91d6-b5f5-94974a2503b8"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
50,"Setembro de 2023 homem suicidou-se 62 vezes e depois esfaqueou-se, fingindo estar em legítima defesa, e foi condenado à pena de morte com suspensão. Os procuradores recusaram-se a declarar-se culpados.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""43fcb05b-39f7-9fdf-b656-cbe1155a7260"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
51,"Setembro de 2023 Após a implantação de Ying Yong, seis líderes da equipe de inspeção conduziram a equipe para a área local, e havia uma “general feminina”,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""78aea825-3bc1-96b9-82f8-85cab114f0a1"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
52,"Setembro de 2023 O requisito de recrutamento de uma unidade da agência para que o pessoal de limpeza tenha menos de 35 anos foi oficialmente considerado mal pensado e foi corrigido,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""0a523571-dd8e-911d-a1ef-c0ec8222edc0"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
53,"Setembro de 2023 Blinken encontra obstáculos no Egito e na Arábia Saudita: o príncipe herdeiro saudita o deixou esperando por horas,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""75f403a8-dc53-9ecc-95c8-4f8352e004cb"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
54,"Setembro de 2023 O dono de um cachorro cruel que machuca alguém será responsabilizado criminalmente? Quais cães são proibidos em Pequim?,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""a2468766-4a6a-931c-a347-245168976065"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
55,"Setembro de 2023 China Jinmao vende Westin Beijing Hotel por 2,802 bilhões de yuans,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""346adc68-4643-9c88-92cb-7f1cc7a66afd"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
56,"Setembro de 2023 A temperatura mais alta hoje é de 23°C, e a pressão do tráfego nessas estradas é bastante proeminente.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""abe12f83-c2ab-9f1d-8ed2-a615d39449b8"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
57,"Setembro de 2023 Âncora sintética de IA｜O subsídio de cupom de poder de computação apoia o desenvolvimento de grandes modelos de inteligência artificial,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""b33d3e92-15f0-9420-bb7a-92a1590861e6"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
58,"Setembro de 2023 Putin chegou ao Grande Salão do Povo em Pequim para participar do Fórum ""Belt and Road"",Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""7e9454c5-f8bd-91e7-a2b7-e65c159a2ffc"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
59,"Setembro de 2023 A área CBD de Pequim acolhe com satisfação o “sistema de trânsito lento” para aliviar as dificuldades de viagem dos residentes,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""2c3f23d5-a83b-9449-ba42-6abecd488795"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
60,"Setembro de 2023 As inscrições para o primeiro exame de aprovação no ensino médio de Pequim em 2024 começam em 6 de novembro,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""082af21b-dd69-9db1-9059-b7598c5e6a0b"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
61,"Setembro de 2023 Os preços da habitação no mais antigo e falido distrito escolar primário de Pequim caíram drasticamente,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""45d87111-c10a-9e9b-b594-417be5888574"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
62,"Setembro de 2023 Em busca do Passo Negro do “Pólo Leste”, o lugar onde brilha o primeiro raio de sol em Pequim,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""01aa5ea6-939d-9dcb-b027-811375b0ad54"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
63,"Setembro de 2023 Empresas de formação unem forças para acelerar a construção de Zhongguancun na Agricultura Pinggu, Pequim,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""683af651-4713-9a61-9819-83895ba14c56"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
64,"Setembro de 2023Beijing lança ação para acelerar eliminação do câncer cervical abrangendo cinco ações principais,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""66e5c7d9-5deb-92fb-9c11-8e32640f4375"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
65,"Setembro de 2023 704 unidades de moradias públicas serão registradas para aluguel na próxima segunda-feira para famílias que esperam em Dongcheng,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""4f828bfd-198c-9b7a-9d12-acfeeeecbbee"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
66,"Setembro de 2023 Pequim planeja construir uma rede nacional de ônibus autônomos, aproximando-se gradualmente,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""df1be000-2113-92cc-9487-464264cde6d6"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
67,"Setembro de 2023 Cidade de Tangu é ""completamente"" revelada para criar um novo modelo de vida em Pequim,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""bf866b1d-fe83-9550-8fae-863876204375"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
68,"Setembro de 2023 Uma prévia de 60 segundos dos repórteres estrangeiros ""One Belt, One Road"" brincando com tecnologia negra,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""331cbb02-acb6-9f70-9a32-aa3af29d0fe1"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
69,"Setembro de 2023 China Jinmao: 2,802 bilhões de yuans venderam 100% do patrimônio da Jinmao Beijing Real Estate,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""ca819930-b0bb-99e7-b26e-427d04c4f214"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
70,"Setembro de 2023 Interpretação dos advogados criminais de Pequim: Que categorias de “detidos” estão incluídas?,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""7a4236e2-b478-91da-a408-da03613ce602"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
71,"Setembro de 2023 Distrito de Fengtai, Pequim: “Três passos” para criar um caminho para a renovação urbana característica,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""9dd83b4e-b6e3-9275-9389-9ffe00c980e1"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
72,"Setembro de 2023 Visão O outono de Pequim tem sabor “frutado”,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""0956ce0c-9cd6-9ab2-8080-6def0fbbdcfd"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
73,"Setembro de 2023 Wenrun Beijing escreve um novo capítulo - Observação de Pequim na perspectiva da economia humanística,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""71d782d5-68a7-9618-91ec-d827cbe86508"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
74,"Setembro de 2023 Como construir uma “cidade resiliente”? A resposta está na inovadora cidade de Huairou,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""a72feda9-d670-980f-9357-139d26363f3f"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
75,"Setembro de 2023 Um jovem de Pequim infiltrou-se num porta-aviões dos EUA durante 4 anos e regressou à China em 2003 com segredos essenciais,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""ff31f0ff-7cdc-9376-be68-a640f064ce9c"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
76,"Setembro de 2023 Dica da Polícia Rodoviária de Pequim: Recomenda-se reduzir as viagens de carro nas áreas urbanas do leste,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""93fb8ac1-13da-9752-b665-c9794cc82e72"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
77,"Setembro de 2023 A partir do dia 17, essas entradas do metrô serão fechadas e algumas vias serão fechadas ao trânsito.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,"{""status_code"": 429, ""request_id"": ""fe35c8a8-5518-952c-b023-df05233d2e6b"", ""code"": ""Throttling.RateQuota"", ""message"": ""Requests rate limit exceeded, please try again later."", ""output"": null, ""usage"": null}",0
